Sender_name,Receiver_name,currency,timestamp,total_sent,total_received,balance
"Kaur, Kemp and Turner","Houghton, Murray and Thomas",EUR,2021-01-17T03:19:46.124424Z,167952.8696625,162534.453125,-5418.416537499987
Fabre S.A.,Lesage,EUR,2021-01-25T20:33:24.766877Z,85043.58063215518,85043.58063215518,0.0
Lesage,Bailey-Bolton,EUR,2021-02-08T00:16:08.73216Z,15652.254845305832,7351.75048828125,-8300.504357024582
Schofield PLC,Bosch & van Haspengouw,EUR,2021-02-08T11:42:18.74947Z,71766.4566293267,17347.739598150783,-54418.71703117591
Sontag,Cichorius,EUR,2021-02-11T22:31:26.82783Z,78233.00213837433,78233.00213837433,0.0
Striebitz,Trespa,EUR,2021-02-21T18:05:41.018975Z,63935.5221619091,13462.454290667072,-50473.067871242034
Lesage,Bosch & van Haspengouw,EUR,2021-03-01T16:32:07.070232Z,34225.85496680891,77716.16760176267,43490.31263495376
Fitzgerald Inc,Leconte,EUR,2021-03-09T05:05:00.582853Z,93625.9677,93625.9677,0.0
Welch-Ryan,Schofield PLC,EUR,2021-03-31T22:49:03.509099Z,74239.5882430606,59123.1177,-15116.470543060597
Fabre S.A.,Leduc,EUR,2021-05-22T03:10:30.628868Z,89237.25699383594,1802.1556841586653,-87435.10130967727
Goudriaan NV,Valette Fleury SA,EUR,2021-05-27T10:47:15.118848Z,67691.32290184921,68672.859375,981.5364731507871
van der Noot & Jonkman,Nelson Group,EUR,2021-07-11T15:42:07.549918Z,165302.99448107622,185395.609375,20092.614893923776
Bourdon S.A.,Armstrong Inc,EUR,2021-07-17T00:09:29.456805Z,51314.28179824561,66794.7890625,15480.50726425439
"Kaur, Kemp and Turner",le Gallen & van Gelder,EUR,2021-07-19T08:31:54.311466Z,40238.16796875,11837.643358819345,-28400.524609930653
Putz,Le Gall SARL,EUR,2021-08-09T22:01:54.141983Z,32257.634690611663,98070.83681293653,65813.20212232486
"Jones, Smith and Waters",Kusch,EUR,2021-08-12T22:50:48.596714Z,97499.684,78373.93,-19125.754
Le Gall SARL,Le Gall SARL,EUR,2021-08-15T01:08:18.821693Z,10728.182097125215,73545.26730678047,62817.085209655255
"Jones, Shepherd and Price",Freudenberger Grein Groth GmbH & Co. KG,EUR,2021-08-26T10:23:39.739746Z,94329.2374,36235.0640113798,-58094.1733886202
"Sanderson, Fox and Holland",Leconte,EUR,2021-08-26T23:13:39.270488Z,41352.47747747748,66755.43808490822,25402.960607430745
Jäntsch Schweitzer GmbH & Co. KG,Leconte,EUR,2021-09-02T03:48:28.445666Z,28679.33373340446,77891.1953125,49211.86157909554
Langlois S.A.R.L.,Royal Bastiaanse,EUR,2021-09-06T07:46:32.487601Z,87724.19411854897,87724.19411854897,0.0
Evans-Davison,Lesage,EUR,2021-09-07T15:05:44.417726Z,5031.705078125,5031.705078125,0.0
