name,currency,timestamp,current_amount
Auger Legros SARL,EUR,2021-07-13T12:34:54.10906Z,47773.57456140351
Bosch & van Haspengouw,EUR,2021-11-12T21:48:42.752304Z,-25644.941
Didier,EUR,2021-03-14T19:28:02.163428Z,83590.8828236131
Evans-Davison,EUR,2021-09-07T15:05:44.417726Z,5031.705078125
Gröttner,EUR,2022-03-20T03:46:55.566935Z,-42050.1207
Hanegraaff & Hekker,EUR,2021-06-02T14:43:17.365464Z,-48217.52734375
Hanegraaff & Hekker,EUR,2021-11-26T03:00:39.389898Z,50783.115
Henderson-Wright,EUR,2021-04-07T10:11:05.848455Z,87497.89642170261
"Houghton, Murray and Thomas",EUR,2021-07-08T10:53:31.761763Z,-73365.47978899952
Jäntsch Schweitzer GmbH & Co. KG,EUR,2021-07-14T05:26:08.064539Z,-16257.166796360967
Le Gall SARL,EUR,2021-01-30T19:27:03.43481Z,56307.1015625
Le Gall SARL,EUR,2021-09-06T03:03:26.427008Z,32325.86904338549
Poirier S.A.R.L.,EUR,2021-02-06T18:04:17.050639Z,-7201.8525515647225
Poirier S.A.R.L.,EUR,2021-08-12T22:50:48.596714Z,-13851.945902377112
Portaal,EUR,2021-11-18T14:48:39.952667Z,53348.35081792319
Remmers & Gruijl,EUR,2021-01-21T02:34:02.50913Z,67464.69784391133
"Simpson, Thompson and Lamb",EUR,2021-03-23T23:27:53.407815Z,25688.251
"Smith, Francis and Hurst",EUR,2021-11-02T16:59:59.582103Z,-78016.4251422475
Fabre S.A.,EUR,2021-09-11T20:37:04.742055Z,9043.377998785301
Grein Groth,EUR,2021-06-06T11:06:54.950438Z,37648.689396633476
Grein Groth,EUR,2021-09-28T15:52:16.030294Z,-68093.9258628816
Kostolzin AG,EUR,2023-02-18T20:51:39.519305Z,-39156.9565
Kostolzin AG,EUR,2023-03-28T22:44:06.618192Z,83656.4684
Le Gall SARL,EUR,2021-04-21T08:34:41.562632Z,60364.57421875
Leblanc S.A.S.,EUR,2021-09-23T13:48:44.390956Z,-91193.828125
Leduc,EUR,2021-08-22T04:21:08.985276Z,67990.7265625
Poirier S.A.R.L.,EUR,2021-04-01T23:52:40.814686Z,-77844.26120199147
Pruvost,EUR,2023-03-22T21:42:09.341779Z,-60650.1793
Roussel,EUR,2021-11-04T06:39:24.013123Z,11992.617507781659
"Smith, Francis and Hurst",EUR,2021-05-02T12:04:30.16243Z,6662.44677734375
Stichting Mol,EUR,2022-08-28T00:17:07.744529Z,15686.7426
"Stokes, Adams and Robinson",EUR,2021-01-17T12:13:57.432369Z,90890.41464217026
Striebitz,EUR,2021-09-04T15:10:00.27305Z,100111.96840075868
Wagenvoort Groep,EUR,2022-11-05T10:19:20.273974Z,-48082.2347
Welch-Ryan,EUR,2021-04-15T21:07:28.61055Z,59847.26914414414
"Wilkinson, Bennett and Stanley",EUR,2021-09-09T11:17:19.801331Z,34347.580208380656
Winters Groep,EUR,2021-01-19T04:23:44.085258Z,59972.6015625
de Koning NV,EUR,2021-10-21T01:40:53.391891Z,-74315.06383490232
Armstrong Inc,EUR,2021-10-08T23:27:36.790183Z,-50454.188151967755
Croon Elektrotechniek,EUR,2021-09-19T04:13:54.264296Z,-73536.00362160412
Didier,EUR,2021-01-01T07:50:28.308495Z,-31083.32592460882
Didier,EUR,2021-01-24T11:07:44.507146Z,42680.01410820933
Fabre S.A.,EUR,2021-01-25T20:33:24.766877Z,85043.58063215518
Fitzgerald Inc,EUR,2021-05-02T08:49:46.775443Z,75281.734375
Fitzgerald Inc,EUR,2021-10-31T02:05:31.194066Z,-32018.177734375
"Gough, Evans and Blackburn",EUR,2021-02-12T22:40:02.263626Z,-97105.3963463111
"Gough, Evans and Blackburn",EUR,2021-09-18T13:18:15.456142Z,14922.1005859375
Gröttner,EUR,2021-07-12T11:42:09.647661Z,39431.28515625
Hope-Short,EUR,2021-10-20T20:02:11.652998Z,59209.73828125
Johnson Group,EUR,2021-04-14T01:48:03.265564Z,-61868.6299
